date      , day_of_week, product           , category, views, likes, comments_count, sample_comment                 , estimated_price_ksh, demand_score, simulated_sales_units
2025-11-13, Thursday   , Baby Stroller     , travel  ,  7788,   426,             68, Do you have other colors?      ,               32000,         7.22,                     3
2025-11-14, Friday     , Baby Carrier      , travel  , 35187,  2810,            457, This is so cute!               ,                2800,        10.58,                    33
2025-11-15, Saturday   , Baby Romper       , clothing, 34154,  2295,            126, Do you deliver outside Nairobi?,                1200,         7.46,                    26
2025-11-16, Sunday     , Baby Carrier      , travel  , 34265,  1874,            305, Can I order today?             ,                2800,         7.25,                    26
2025-11-17, Monday     , Baby Feeding Chair, feeding , 25710,  1258,            149, How much is this?              ,               16000,         6.05,                     5
2025-11-18, Tuesday    , Teether           , care    , 42631,  2349,            307, Where are you located?         ,                 350,         6.95,                    38
2025-11-19, Wednesday  , Baby Feeding Chair, feeding , 16382,   826,            136, Do you have other colors?      ,               16000,         6.7 ,                    12
2025-11-20, Thursday   , Baby Towel        , care    , 18478,  1107,            149, Can I order today?             ,                 700,         7.6 ,                    35
2025-11-21, Friday     , Baby Towel        , care    , 36884,  2631,            510, Do you have other colors?      ,                 700,         9.9 ,                    49
2025-11-22, Saturday   , Baby Mittens Set  , clothing, 12789,   529,             60, Do you deliver outside Nairobi?,                 500,         5.07,                    35
2025-11-23, Sunday     , Baby Bodysuit     , clothing, 12541,   761,            142, Where are you located?         ,                 900,         8.33,                    49
2025-11-24, Monday     , Baby Carrier      , travel  , 46241,  2800,            147, This is so cute!               ,                2800,         6.69,                    32
2025-11-25, Tuesday    , Feeding Bottle    , feeding , 29306,  2245,            302, Can I order today?             ,                 800,         9.72,                    13
2025-11-26, Wednesday  , Baby Romper       , clothing, 40727,  2548,            422, Do you have other colors?      ,                1200,         8.33,                    30
2025-11-27, Thursday   , Baby Bodysuit     , clothing, 22530,  1505,            286, Can I order today?             ,                 900,         9.22,                    31
2025-11-28, Friday     , Baby Mittens Set  , clothing, 49882,  2620,            175, Can I order today?             ,                 500,         5.95,                    30
2025-11-29, Saturday   , Feeding Bottle    , feeding , 38185,  2747,            188, Is it available?               ,                 800,         8.18,                    10
2025-11-30, Sunday     , Teether           , care    , 36622,  1668,            140, Where are you located?         ,                 350,         5.32,                    24
2025-12-01, Monday     , Feeding Bottle    , feeding ,  4708,   230,             37, Can I order today?             ,                 800,         6.46,                    19
2025-12-02, Tuesday    , Baby Mittens Set  , clothing, 41224,  1246,            124, Can I order today?             ,                 500,         3.62,                    34
2025-12-03, Wednesday  , Teether           , care    , 36393,  2765,            281, I need this for my baby        ,                 350,         9.14,                    27
2025-12-04, Thursday   , Baby Carrier      , travel  , 10666,   713,             84, I need this for my baby        ,                2800,         8.26,                    15
2025-12-05, Friday     , Feeding Bottle    , feeding , 43914,  2310,            164, Can I order today?             ,                 800,         6.01,                    33
2025-12-06, Saturday   , Baby Carrier      , travel  , 47080,  2585,            291, I need this for my baby        ,                2800,         6.73,                    28
2025-12-07, Sunday     , Teether           , care    , 48240,  2321,            318, How much is this?              ,                 350,         6.13,                    31
2025-12-08, Monday     , Baby Stroller     , travel  , 21097,   646,             96, Do you have other colors?      ,               32000,         3.97,                     7
2025-12-09, Tuesday    , Baby Stroller     , travel  ,  6944,   542,             39, Is it available?               ,               32000,         8.93,                     6
2025-12-10, Wednesday  , Baby Car Seat     , travel  , 26917,   922,            183, How much is this?              ,               25000,         4.79,                     1
2025-12-11, Thursday   , Baby Mittens Set  , clothing, 22806,  1363,             81, This is so cute!               ,                 500,         6.69,                    32
2025-12-12, Friday     , Baby Carrier      , travel  ,  4482,   181,             33, Where are you located?         ,                2800,         5.51,                    34
2025-12-13, Saturday   , Baby Mittens Set  , clothing, 29952,   953,            115, Do you have other colors?      ,                 500,         3.95,                    49
2025-12-14, Sunday     , Baby Bodysuit     , clothing, 25570,   851,            141, Where are you located?         ,                 900,         4.43,                    56
2025-12-15, Monday     , Baby Towel        , care    , 30865,  1750,            213, Is it available?               ,                 700,         7.05,                    39
2025-12-16, Tuesday    , Feeding Bottle    , feeding , 40565,  2769,            181, Can I order today?             ,                 800,         7.72,                    17
2025-12-17, Wednesday  , Baby Towel        , care    , 14342,  1108,            117, Do you deliver outside Nairobi?,                 700,         9.36,                    19
2025-12-18, Thursday   , Baby Carrier      , travel  , 12093,   681,            115, Where are you located?         ,                2800,         7.53,                    27
2025-12-19, Friday     , Baby Towel        , care    , 42411,  3053,            549, Do you deliver outside Nairobi?,                 700,         9.79,                    17
2025-12-20, Saturday   , Baby Feeding Chair, feeding , 47368,  1946,            164, Where are you located?         ,               16000,         4.8 ,                    12
2025-12-21, Sunday     , Teether           , care    , 10519,   370,             62, Do you deliver outside Nairobi?,                 350,         4.7 ,                    12
2025-12-22, Monday     , Baby Car Seat     , travel  , 41986,  2629,            225, I need this for my baby        ,               25000,         7.33,                     2
2025-12-23, Tuesday    , Baby Towel        , care    ,  9970,   420,             66, Where are you located?         ,                 700,         5.54,                    55
2025-12-24, Wednesday  , Feeding Bottle    , feeding , 20922,  1634,            313, Do you have other colors?      ,                 800,        10.8 ,                    30
2025-12-25, Thursday   , Teether           , care    , 23389,  1044,            192, Do you have other colors?      ,                 350,         6.11,                    16
2025-12-26, Friday     , Baby Stroller     , travel  ,  6425,   220,             17, Where are you located?         ,               32000,         3.95,                     3
2025-12-27, Saturday   , Teether           , care    , 22079,   862,            118, Do you deliver outside Nairobi?,                 350,         4.97,                    27
2025-12-28, Sunday     , Baby Towel        , care    , 10705,   808,            116, Is it available?               ,                 700,         9.72,                    20
2025-12-29, Monday     , Baby Towel        , care    , 39609,  2822,            294, This is so cute!               ,                 700,         8.61,                    21
2025-12-30, Tuesday    , Teether           , care    , 16596,   784,            130, This is so cute!               ,                 350,         6.29,                    18
2025-12-31, Wednesday  , Baby Feeding Chair, feeding ,  9083,   372,             72, Do you deliver outside Nairobi?,               16000,         5.68,                    13
2026-01-01, Thursday   , Baby Towel        , care    , 31975,  1141,            153, Do you deliver outside Nairobi?,                 700,         4.53,                    55
2026-01-02, Friday     , Baby Bodysuit     , clothing, 22607,   884,            108, Where are you located?         ,                 900,         4.87,                    26
2026-01-03, Saturday   , Baby Mittens Set  , clothing,  4573,   306,             47, Can I order today?             ,                 500,         8.75,                    34
2026-01-04, Sunday     , Baby Mittens Set  , clothing, 25752,   951,            166, Do you deliver outside Nairobi?,                 500,         4.98,                    13
2026-01-05, Monday     , Baby Stroller     , travel  , 43401,  3256,            500, Where are you located?         ,               32000,         9.81,                     5
2026-01-06, Tuesday    , Baby Car Seat     , travel  , 18458,  1312,            169, Do you have other colors?      ,               25000,         8.94,                     2
2026-01-07, Wednesday  , Teether           , care    , 40243,  2209,            132, Is it available?               ,                 350,         6.15,                    46
2026-01-08, Thursday   , Baby Car Seat     , travel  , 33896,  1859,            293, Where are you located?         ,               25000,         7.21,                     5
2026-01-09, Friday     , Baby Stroller     , travel  , 42809,  1583,            141, Where are you located?         ,               32000,         4.36,                     7
2026-01-10, Saturday   , Baby Stroller     , travel  , 19029,  1267,            111, How much is this?              ,               32000,         7.82,                     5
2026-01-11, Sunday     , Teether           , care    , 49924,  1935,            362, Do you deliver outside Nairobi?,                 350,         5.33,                    35
2026-01-12, Monday     , Feeding Bottle    , feeding , 37796,  1857,            237, Do you deliver outside Nairobi?,                 800,         6.17,                    11
2026-01-13, Tuesday    , Baby Car Seat     , travel  , 37835,  2948,            228, Do you have other colors?      ,               25000,         9.0 ,                     5
2026-01-14, Wednesday  , Baby Bodysuit     , clothing, 13555,   929,             55, Do you deliver outside Nairobi?,                 900,         7.67,                    20
2026-01-15, Thursday   , Baby Romper       , clothing, 26063,  1974,            312, Do you have other colors?      ,                1200,         9.97,                    12
2026-01-16, Friday     , Baby Carrier      , travel  , 30769,  1533,            296, Do you deliver outside Nairobi?,                2800,         6.91,                    26
2026-01-17, Saturday   , Baby Feeding Chair, feeding , 25863,  1053,             57, This is so cute!               ,               16000,         4.51,                     5
2026-01-18, Sunday     , Baby Carrier      , travel  ,  3762,   271,             47, This is so cute!               ,                2800,         9.7 ,                    31
2026-01-19, Monday     , Teether           , care    , 47420,  1789,            256, How much is this?              ,                 350,         4.85,                    11
2026-01-20, Tuesday    , Baby Feeding Chair, feeding ,  3524,   166,             17, Do you have other colors?      ,               16000,         5.68,                     2
2026-01-21, Wednesday  , Teether           , care    , 36008,  2349,            328, I need this for my baby        ,                 350,         8.35,                    34
2026-01-22, Thursday   , Baby Car Seat     , travel  , 15350,   518,             31, This is so cute!               ,               25000,         3.78,                     4
2026-01-23, Friday     , Baby Feeding Chair, feeding , 43131,  3380,            171, How much is this?              ,               16000,         8.63,                    13
2026-01-24, Saturday   , Baby Mittens Set  , clothing, 28212,   975,            182, I need this for my baby        ,                 500,         4.75,                    26
2026-01-25, Sunday     , Baby Bodysuit     , clothing, 38408,  2008,            156, Do you deliver outside Nairobi?,                 900,         6.04,                    25
2026-01-26, Monday     , Baby Stroller     , travel  , 26791,  1819,            265, Where are you located?         ,               32000,         8.77,                     1
2026-01-27, Tuesday    , Baby Towel        , care    ,  3750,   248,             36, Do you have other colors?      ,                 700,         8.53,                    17
2026-01-28, Wednesday  , Baby Bodysuit     , clothing, 17896,  1345,            197, Do you have other colors?      ,                 900,         9.72,                    35
2026-01-29, Thursday   , Baby Bodysuit     , clothing, 27064,  2089,            116, I need this for my baby        ,                 900,         8.58,                    19
2026-01-30, Friday     , Baby Feeding Chair, feeding , 31711,  2418,            186, How much is this?              ,               16000,         8.8 ,                     6
2026-01-31, Saturday   , Baby Feeding Chair, feeding , 21541,  1632,             89, Do you deliver outside Nairobi?,               16000,         8.4 ,                     6
2026-02-01, Sunday     , Baby Car Seat     , travel  , 26070,  1169,            220, Where are you located?         ,               25000,         6.17,                     2
2026-02-02, Monday     , Baby Car Seat     , travel  , 43786,  3380,            409, How much is this?              ,               25000,         9.59,                     6
2026-02-03, Tuesday    , Feeding Bottle    , feeding , 27510,  1451,            186, Is it available?               ,                 800,         6.63,                    48
2026-02-04, Wednesday  , Baby Romper       , clothing, 23776,  1486,            155, Where are you located?         ,                1200,         7.55,                    16
2026-02-05, Thursday   , Teether           , care    , 32907,  1778,            324, How much is this?              ,                 350,         7.37,                    52
2026-02-06, Friday     , Baby Towel        , care    ,  4983,   259,             28, Is it available?               ,                 700,         6.32,                    48
2026-02-07, Saturday   , Teether           , care    , 30535,  1739,            293, This is so cute!               ,                 350,         7.61,                    34
2026-02-08, Sunday     , Baby Towel        , care    ,  9564,   586,            107, This is so cute!               ,                 700,         8.36,                    51
2026-02-09, Monday     , Feeding Bottle    , feeding , 11323,   471,             25, I need this for my baby        ,                 800,         4.6 ,                    51
2026-02-10, Tuesday    , Baby Feeding Chair, feeding ,  2545,    79,             14, Can I order today?             ,               16000,         4.2 ,                    14
2026-02-11, Wednesday  , Teether           , care    , 31969,  2460,            417, Where are you located?         ,                 350,        10.3 ,                    48
2026-02-12, Thursday   , Baby Feeding Chair, feeding , 43773,  2080,            343, I need this for my baby        ,               16000,         6.32,                    14
2026-02-13, Friday     , Baby Car Seat     , travel  , 10436,   563,             77, Do you have other colors?      ,               25000,         6.87,                     4
2026-02-14, Saturday   , Baby Bodysuit     , clothing, 12616,   863,             97, I need this for my baby        ,                 900,         8.38,                    48
2026-02-15, Sunday     , Teether           , care    , 14676,   977,             49, Do you have other colors?      ,                 350,         7.32,                    54
2026-02-16, Monday     , Teether           , care    , 35933,  1611,            286, Where are you located?         ,                 350,         6.08,                    27
2026-02-17, Tuesday    , Baby Car Seat     , travel  , 49037,  2915,            266, Do you deliver outside Nairobi?,               25000,         7.03,                     5
2026-02-18, Wednesday  , Teether           , care    , 26557,   856,             56, Is it available?               ,                 350,         3.64,                    33
2026-02-19, Thursday   , Baby Mittens Set  , clothing, 11155,   456,             87, Can I order today?             ,                 500,         5.65,                    46
2026-02-20, Friday     , Baby Carrier      , travel  , 43898,  2608,            514, Is it available?               ,                2800,         8.28,                    18
2026-02-21, Saturday   , Baby Stroller     , travel  , 42970,  3230,            640, Is it available?               ,               32000,        10.5 ,                     7
2026-02-22, Sunday     , Baby Stroller     , travel  , 16899,   561,             61, I need this for my baby        ,               32000,         4.04,                     5
2026-02-23, Monday     , Feeding Bottle    , feeding , 17934,   744,            129, Do you deliver outside Nairobi?,                 800,         5.59,                    55
2026-02-24, Tuesday    , Feeding Bottle    , feeding , 13593,   439,             47, Do you have other colors?      ,                 800,         3.92,                    50
2026-02-25, Wednesday  , Baby Bodysuit     , clothing, 29376,  2287,            397, Do you have other colors?      ,                 900,        10.49,                    14
2026-02-26, Thursday   , Baby Towel        , care    , 10245,   803,            146, Can I order today?             ,                 700,        10.69,                    44
2026-02-27, Friday     , Feeding Bottle    , feeding , 20297,  1141,            101, Do you have other colors?      ,                 800,         6.62,                    44
2026-02-28, Saturday   , Teether           , care    , 27425,  1777,            129, Can I order today?             ,                 350,         7.42,                    41
2026-03-01, Sunday     , Teether           , care    ,  9906,   408,             34, Do you deliver outside Nairobi?,                 350,         4.81,                    56
2026-03-02, Monday     , Baby Bodysuit     , clothing, 39443,  2327,            148, I need this for my baby        ,                 900,         6.65,                    50
2026-03-03, Tuesday    , Baby Carrier      , travel  , 48007,  2077,            144, Where are you located?         ,                2800,         4.93,                    13
2026-03-04, Wednesday  , Baby Carrier      , travel  , 19602,  1524,            273, I need this for my baby        ,                2800,        10.56,                    13
2026-03-05, Thursday   , Baby Feeding Chair, feeding , 48542,  3046,            403, Is it available?               ,               16000,         7.94,                    12
2026-03-06, Friday     , Teether           , care    , 17585,   886,             93, Is it available?               ,                 350,         6.1 ,                    17
2026-03-07, Saturday   , Baby Towel        , care    , 23754,  1571,            195, Is it available?               ,                 700,         8.26,                    15
2026-03-08, Sunday     , Baby Car Seat     , travel  , 42996,  1763,            268, Can I order today?             ,               25000,         5.35,                     5
2026-03-09, Monday     , Baby Stroller     , travel  , 23452,  1701,            211, I need this for my baby        ,               32000,         9.05,                     6
2026-03-10, Tuesday    , Baby Stroller     , travel  ,  4396,   331,             44, Do you have other colors?      ,               32000,         9.53,                     2
2026-03-11, Wednesday  , Baby Bodysuit     , clothing,  8183,   476,             42, Do you have other colors?      ,                 900,         6.84,                    15
2026-03-12, Thursday   , Baby Car Seat     , travel  , 22695,  1585,            235, How much is this?              ,               25000,         9.05,                     1
2026-03-13, Friday     , Feeding Bottle    , feeding , 33290,  2442,            381, This is so cute!               ,                 800,         9.62,                    52
2026-03-14, Saturday   , Baby Carrier      , travel  , 34088,  2607,            171, Do you have other colors?      ,                2800,         8.65,                    31
2026-03-15, Sunday     , Teether           , care    ,  4469,   176,             32, I need this for my baby        ,                 350,         5.37,                    54
2026-03-16, Monday     , Baby Feeding Chair, feeding , 11017,   586,            106, I need this for my baby        ,               16000,         7.24,                    11
2026-03-17, Tuesday    , Baby Bodysuit     , clothing, 42329,  3005,            253, Do you have other colors?      ,                 900,         8.29,                    48
2026-03-18, Wednesday  , Baby Stroller     , travel  , 38766,  1165,            155, Do you have other colors?      ,               32000,         3.8 ,                     5
2026-03-19, Thursday   , Baby Car Seat     , travel  , 28588,  1227,             96, This is so cute!               ,               25000,         4.96,                     5
2026-03-20, Friday     , Baby Stroller     , travel  , 11882,   939,            135, Do you deliver outside Nairobi?,               32000,        10.18,                     7
2026-03-21, Saturday   , Feeding Bottle    , feeding ,  9009,   555,             72, This is so cute!               ,                 800,         7.76,                    44
2026-03-22, Sunday     , Baby Stroller     , travel  ,  3007,   106,             17, Do you deliver outside Nairobi?,               32000,         4.66,                     2
2026-03-23, Monday     , Baby Romper       , clothing, 23736,  1854,            187, I need this for my baby        ,                1200,         9.39,                    32
2026-03-24, Tuesday    , Baby Mittens Set  , clothing, 37150,  2845,            185, Can I order today?             ,                 500,         8.65,                    13
2026-03-25, Wednesday  , Baby Bodysuit     , clothing,  9059,   583,             35, Do you deliver outside Nairobi?,                 900,         7.21,                    36
2026-03-26, Thursday   , Baby Feeding Chair, feeding , 49295,  3224,            193, I need this for my baby        ,               16000,         7.32,                    11
2026-03-27, Friday     , Teether           , care    , 11077,   523,             74, Can I order today?             ,                 350,         6.06,                    27
2026-03-28, Saturday   , Teether           , care    ,  4353,   346,             52, Is it available?               ,                 350,        10.34,                    21
